province,year_from,year_to,D_tt,D_t1t1,D_t_t1,D_t1_t,EFFCH,TECH,Malmquist
贵州,2018,2019,1.0,0.9999999999999998,1.3232895873741433,0.967504867439397,0.9999999999999998,1.1695017291925414,1.1695017291925411
贵州,2019,2020,0.9999999999999998,1.0,1.225467790182674,0.9168028143507345,1.0000000000000002,1.1561468001722117,1.156146800172212
辽宁,2016,2017,0.8588898741870129,0.7432428378703574,0.7629631764261825,0.8355954651133685,0.8653528935521311,1.0272050044819825,0.8888948228997132
辽宁,2017,2018,0.7432428378703574,0.718876171388689,0.7890010509823551,0.6671293487211214,0.9672157399437751,1.1057885527647107,1.0695360932836757
辽宁,2018,2019,0.718876171388689,0.7300131981672676,0.7855611367906727,0.6770297869434094,1.0154922742216712,1.068926379293127,1.0854864798839141
辽宁,2019,2020,0.7300131981672676,0.7250556862542916,0.7682192613601125,0.6892086162008885,0.9932090105693677,1.059368173727859,1.052174015656925
重庆,2016,2017,0.8048008989875604,0.7455472456086043,0.7677111180662269,0.7825176160988547,0.9263747674070728,1.0291021721015292,0.9533342853186675
重庆,2017,2018,0.7455472456086043,0.7559461570151338,0.7802767616894065,0.7190090175935201,1.013948024713096,1.0345448451751307,1.0489747022424396
重庆,2018,2019,0.7559461570151338,0.8000033919718395,0.858330720973397,0.7073806157843866,1.0582809166338862,1.0707800438858541,1.1331860863567946
重庆,2019,2020,0.8000033919718395,0.8615911323663898,0.9296492289567101,0.7426562402315131,1.0769843490822577,1.0781047099609369,1.161101899299796
陕西,2016,2017,1.0,1.0,1.0243134777013296,0.9808218648843531,1.0,1.0219305308452393,1.0219305308452393
陕西,2017,2018,1.0,1.0,1.0694060488711052,0.9536280271518219,1.0,1.0589655083038156,1.0589655083038156
陕西,2018,2019,1.0,0.9099393800214419,1.0926940924230322,0.8373999407049475,0.9099393800214419,1.1975029840704434,1.089655122898886
陕西,2019,2020,0.9099393800214419,0.9403254513767954,1.0320826587640195,0.8293774052469202,1.0333935117245254,1.097357851769349,1.1340024840584089
青海,2016,2017,1.0,1.0,1.1004854196231706,0.940664685850445,1.0,1.081620042999062,1.081620042999062
青海,2017,2018,1.0,1.0,1.1916833611080369,0.8720348527322862,1.0,1.1689973223287815,1.1689973223287815
青海,2018,2019,1.0,1.0,1.4986688283305118,0.8048135039426403,1.0,1.3645995060420941,1.3645995060420941
青海,2019,2020,1.0,1.0,1.26320079519069,0.8591279226262766,1.0,1.2125712810218947,1.2125712810218947
黑龙江,2016,2017,0.7530605779186553,0.7824621312012225,0.8196916694480947,0.7166885961712305,1.0390427465527787,1.049163821101754,1.0901260582613745
黑龙江,2017,2018,0.7824621312012225,0.7299260293147891,0.8112198222601935,0.7006065073998152,0.9328579623325912,1.1141006619776233,1.0392976733658366
黑龙江,2018,2019,0.7299260293147891,0.694655074125594,0.8405934531495536,0.6075020945235432,0.9516787266480887,1.2057962561531337,1.147530645652847
黑龙江,2019,2020,0.694655074125594,0.6856850251388429,0.7557667333473354,0.6184721896126149,0.9870870460450573,1.1126435935184147,1.0982760780270493
