province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
新疆,14,2020,0.4653941701426962,-0.7648705547444101,1.409548493223015,0.34326943553715267,0.565194229663114,15.8779650628256,2.7649323029494237,14.3,2929.4,248.2,25.9674,85.2,2.1823,4315.6
江苏,15,2016,0.60172141534451,-0.5079607059906358,1.0,0.0,0.689338981028517,781.809701492537,6.66161136245625,5.22,4906.6,312.5,11.3941,108.7,7.6184,7235.1
江苏,15,2017,0.631888572996603,-0.45904220892913794,0.9915758030620444,-0.008459881032866639,0.70184138667933,785.727611940299,6.666610182672708,4.71,4991.4,303.9,11.5085,109.0,7.3167,7161.2
江苏,15,2018,0.6410626877444017,-0.4446280300501233,1.0027186364611251,0.002714947653193945,0.711915699739522,787.873134328358,6.669337079851233,4.44,5017.7,292.5,11.6064,109.4,6.96,7192.5
江苏,15,2019,0.6553416184737364,-0.42259862438764584,1.0519665982935242,0.05066136313989997,0.72470775770457,790.018656716418,6.672056561278943,4.36,5112.0,286.2,11.4153,108.9,6.7396,7503.2
江苏,15,2020,0.6755136740642446,-0.3922818789085375,1.1191962135727396,0.1126107612082467,0.734418904221411,790.789179104478,6.6730314077234265,4.41,5213.8,280.8,11.1776,108.6,6.5703,7952.6
江西,16,2016,0.3057900307778274,-1.1848565864835021,1.0,0.0,0.539857651245552,269.382863990413,5.5961336538997815,9.76,2201.6,142.0,5.2757,27.8,9.2188,3130.3
江西,16,2017,0.35632760363181415,-1.0319047363658527,0.9777792823725338,-0.022471317063151194,0.557060518731988,270.281605751947,5.599464399734651,9.08,2309.6,135.0,5.3509,29.6,8.7737,3069.0
江西,16,2018,0.3744108030395424,-0.9824016805226946,1.024441816623564,0.0241478951109971,0.573463328163084,270.401437986818,5.599907662153256,8.26,2382.0,123.2,5.2218,30.9,7.7183,3148.6
江西,16,2019,0.41639445906315337,-0.8761222490946203,1.1522529242061987,0.14171909043795397,0.590693091231178,270.581186339125,5.600572187595808,8.34,2470.7,115.6,5.202,30.1,6.2701,3481.3
江西,16,2020,0.4386547646363061,-0.8240425884211274,1.2538175751000675,0.2261929572264418,0.60436778811581,270.787896944278,5.60133584633282,8.7,2591.0,108.8,5.2296,30.0,5.2708,3820.7
河北,17,2016,0.2590848321574941,-1.3505997336236046,1.0,0.0,0.538686832117738,390.624470338983,5.967746664557543,10.8,7402.0,331.8,13.8434,218.7,8.1691,6083.9
河北,17,2017,0.277647707697725,-1.281402207414592,0.9302166160905612,-0.07233779942912497,0.557399374286354,392.433262711864,5.972366491458149,10.2,7580.6,322.0,12.81,224.6,7.7623,5373.4
河北,17,2018,0.30815251703116664,-1.177160433406152,1.1552981940466864,0.14435848731569495,0.573300279948346,393.345868644068,5.974689297717853,10.27,7706.2,312.4,10.9833,217.6,6.145,5707.0
河北,17,2019,0.3203429248723435,-1.1383632167587794,1.2981257647578226,0.26092150477301373,0.58768478330934,394.415254237288,5.977404299052773,10.1,7830.7,297.3,10.3211,200.1,5.7344,6061.5
河北,17,2020,0.33281947017068525,-1.1001550676277372,1.4550083567637346,0.3750116440871921,0.600685438058694,395.330508474576,5.9797221453528415,10.8,7965.7,285.7,10.3742,140.5,5.4289,6742.5
河南,18,2016,0.29142285106252425,-1.2329799700988586,1.0,0.0,0.487800163632645,585.508982035928,6.372481523715881,10.1,9855.0,715.0,16.3149,112.4,12.7107,7799.7
河南,18,2017,0.33526673424741626,-1.092828842339278,1.0090987980804973,0.009057653406968081,0.505599755824601,588.562874251497,6.3776837591439195,9.23,10038.3,706.7,15.7298,108.8,12.0713,7562.5
河南,18,2018,0.34357591488298755,-1.0683471877113606,1.0728202818917967,0.07029095837317546,0.522399635036496,590.658682634731,6.381238325421472,8.63,10204.5,692.8,15.2838,103.9,11.3603,7757.9
河南,18,2019,0.3806214676313402,-0.965949921004152,1.2061803048350372,0.18745859362672537,0.54009998990001,592.874251497006,6.384982321699805,8.63,10357.0,666.7,15.0762,100.1,10.7231,8541.8
河南,18,2020,0.4256563334824085,-0.8541229872081869,1.4102215448605107,0.34374681606193835,0.554290893325434,595.279640718563,6.389031279538499,9.87,10463.7,648.0,15.1717,97.4,10.24,9956.3
浙江,19,2016,0.5261440653971268,-0.6421802151573658,1.0,0.0,0.677206851119895,575.0,6.354370040797351,4.0,2136.7,84.5,6.73,203.2,4.9482,3146.1
浙江,19,2017,0.5513565212429952,-0.5953736350737594,1.0062831740930518,0.006263517249986484,0.689141004862237,584.280303030303,6.370380838621318,3.74,2072.3,82.6,6.7891,201.6,4.6303,3093.4
浙江,19,2018,0.5840897615123897,-0.537700606744887,1.0842956510638493,0.08093060666424402,0.700143472022956,594.034090909091,6.386936709818628,3.4,2009.3,77.8,6.8731,198.8,4.3725,3157.3
浙江,19,2019,0.600877898365818,-0.5093635292043298,1.2311959784415796,0.20798603716421177,0.715764705882353,603.693181818182,6.403066091748512,3.4,1908.0,72.5,6.6737,190.5,3.8572,3355.2
浙江,19,2020,0.6043597274636291,-0.5035856830609773,1.3400297109022428,0.2926917860321244,0.721673391772181,612.528409090909,6.417595323532501,3.4,1813.2,69.6,6.6892,188.6,3.6561,3496.9
海南,20,2016,0.37736737353925554,-0.9745361003961622,1.0,0.0,0.567113673392656,272.786324786325,5.608688795630417,22.6,516.6,50.6,2.6704,19.9,3.4028,1470.4
海南,20,2017,0.4154515024673823,-0.8783893923958416,0.9974510362772198,-0.0025522178617746302,0.580545548121462,276.780626780627,5.623225231339721,21.4,569.8,51.4,2.7642,16.2,3.3408,1488.9
海南,20,2018,0.38781145144371776,-0.9472360073581013,1.0137489009825043,0.013655242335928065,0.591360638384496,279.908831908832,5.6344639498243545,20.1,565.8,48.4,2.3539,20.6,2.325,1535.7
海南,20,2019,0.4297087914310629,-0.8446475289479176,1.148432069066549,0.13839759387187137,0.59369819245029,283.552706552707,5.647398019654147,20.2,581.2,46.3,3.055,15.7,2.1358,1689.4
海南,20,2020,0.4380196280064626,-0.8254915568096115,1.2297875351973622,0.2068414188519114,0.602702649307545,288.415954415954,5.664403724324343,20.4,615.6,42.6,3.058,15.0,1.9747,1821.0
湖北,21,2016,0.4568192709461394,-0.7834674346953701,1.0,0.0,0.585699235344095,316.568047337278,5.757538217961024,10.2,4187.8,328.0,6.7306,65.9,11.7401,6278.4
湖北,21,2017,0.47737278613404094,-0.7394575710297379,0.9850674417536336,-0.01504517136851366,0.59880081300813,317.590102205487,5.760761564546956,9.5,4335.1,317.9,6.5876,66.3,10.9588,6129.7
湖北,21,2018,0.47741715450325506,-0.739364632536447,1.0262346488112057,0.025896423145172306,0.61,318.289402904788,5.762961040943343,8.5,4424.6,295.8,6.3554,65.1,10.3317,6207.8
湖北,21,2019,0.49123911297812656,-0.7108242779208312,1.1683857111127443,0.15562306200848663,0.61829930825038,318.827326519634,5.764649660054485,8.4,4515.7,273.9,5.8801,63.5,9.7024,6681.9
湖北,21,2020,0.4900816487100862,-0.7131832717381206,1.2928748569909454,0.25686831010261396,0.632227585498614,309.027972027972,5.733431797163032,9.6,4626.1,267.3,5.8039,62.8,9.3143,7303.6
湖南,22,2016,0.31122187711770855,-1.1672491899273465,1.0,0.0,0.526999245283019,312.795089707271,5.745548310681163,9.4,6097.5,246.4,8.4679,43.7,11.8661,6081.9
湖南,22,2017,0.3458638662614403,-1.0617100314576606,0.8505525610037828,-0.16186906893374378,0.546199306497814,313.172804532578,5.746755129352296,8.9,6254.8,245.3,8.5209,44.2,11.6023,5213.5
湖南,22,2018,0.41124520325991615,-0.8885656407762531,0.8711262160460247,-0.13796840327548351,0.560899773926149,313.267233238905,5.747056606593048,8.5,6338.6,242.6,8.5397,44.6,11.4155,5361.6
